Time,Pod,Value
2025-01-26 13:18:54.883000+00:00,node-agent-6n8gr,0.030731534048937928
2025-01-26 13:19:54.883000+00:00,node-agent-6n8gr,0.031089010210748055
2025-01-26 13:20:54.883000+00:00,node-agent-6n8gr,0.03040036966143187
2025-01-26 13:21:54.883000+00:00,node-agent-6n8gr,0.03128965790643499
2025-01-26 13:22:54.883000+00:00,node-agent-6n8gr,0.030932779547050628
2025-01-26 13:23:54.883000+00:00,node-agent-6n8gr,0.030786425156699652
2025-01-26 13:24:54.883000+00:00,node-agent-6n8gr,0.03155293094797128
2025-01-26 13:25:54.883000+00:00,node-agent-6n8gr,0.031944315999865455
2025-01-26 13:26:54.883000+00:00,node-agent-6n8gr,0.03229867214748022
2025-01-26 13:27:54.883000+00:00,node-agent-6n8gr,0.03156001670206274
2025-01-26 13:28:54.883000+00:00,node-agent-6n8gr,0.03246562652503124
2025-01-26 13:29:54.883000+00:00,node-agent-6n8gr,0.030319698475181997
2025-01-26 13:18:54.883000+00:00,node-agent-757s5,0.04378220152956797
2025-01-26 13:19:54.883000+00:00,node-agent-757s5,0.04449895697178662
2025-01-26 13:20:54.883000+00:00,node-agent-757s5,0.044309214219971985
2025-01-26 13:21:54.883000+00:00,node-agent-757s5,0.0454787894993473
2025-01-26 13:22:54.883000+00:00,node-agent-757s5,0.046050565000428714
2025-01-26 13:23:54.883000+00:00,node-agent-757s5,0.04586903163911736
2025-01-26 13:24:54.883000+00:00,node-agent-757s5,0.04693283973830819
2025-01-26 13:25:54.883000+00:00,node-agent-757s5,0.04662644097987256
2025-01-26 13:26:54.883000+00:00,node-agent-757s5,0.0458942677998696
2025-01-26 13:27:54.883000+00:00,node-agent-757s5,0.0447429267367359
2025-01-26 13:28:54.883000+00:00,node-agent-757s5,0.04467591598522549
2025-01-26 13:29:54.883000+00:00,node-agent-757s5,0.043510083277238376
2025-01-26 13:18:54.883000+00:00,node-agent-952mr,0.07408228959768226
2025-01-26 13:19:54.883000+00:00,node-agent-952mr,0.11782695262139467
2025-01-26 13:20:54.883000+00:00,node-agent-952mr,0.12176417713978469
2025-01-26 13:21:54.883000+00:00,node-agent-952mr,0.12416186083361148
2025-01-26 13:22:54.883000+00:00,node-agent-952mr,0.12793024297754085
2025-01-26 13:23:54.883000+00:00,node-agent-952mr,0.11815893352079147
2025-01-26 13:24:54.883000+00:00,node-agent-952mr,0.0815054561970342
2025-01-26 13:25:54.883000+00:00,node-agent-952mr,0.0768578531097477
2025-01-26 13:26:54.883000+00:00,node-agent-952mr,0.07638566536660152
2025-01-26 13:27:54.883000+00:00,node-agent-952mr,0.07438741077747868
2025-01-26 13:28:54.883000+00:00,node-agent-952mr,0.07322797241691825
2025-01-26 13:29:54.883000+00:00,node-agent-952mr,0.07255514180318062
2025-01-26 13:18:54.883000+00:00,node-agent-stclg,0.03867084755321188
2025-01-26 13:19:54.883000+00:00,node-agent-stclg,0.03817552352194616
2025-01-26 13:20:54.883000+00:00,node-agent-stclg,0.037357692848796115
2025-01-26 13:21:54.883000+00:00,node-agent-stclg,0.038188245094030376
2025-01-26 13:22:54.883000+00:00,node-agent-stclg,0.03789422406931561
2025-01-26 13:23:54.883000+00:00,node-agent-stclg,0.037378081327215935
2025-01-26 13:24:54.883000+00:00,node-agent-stclg,0.035604139728231635
2025-01-26 13:25:54.883000+00:00,node-agent-stclg,0.036420399635136685
2025-01-26 13:26:54.883000+00:00,node-agent-stclg,0.03652631594035195
2025-01-26 13:27:54.883000+00:00,node-agent-stclg,0.03668603365220087
2025-01-26 13:28:54.883000+00:00,node-agent-stclg,0.036440740904291946
2025-01-26 13:29:54.883000+00:00,node-agent-stclg,0.03468709948151782
